State,County,City,ZipCode,Lat,Long,Radius,Score
Georgia,DeKalb County,Avondale Estates,30002,33.77,-84.26,1.0,147
Georgia,Fulton County,Alpharetta,30004,34.14,-84.29,6.0,9
Georgia,Fulton County,Alpharetta,30005,34.09,-84.22,4.0,160
Georgia,Cobb County,Marietta,30008,33.9,-84.59,4.0,294
Georgia,Fulton County,Alpharetta,30009,34.08,-84.3,3.0,140
Georgia,Barrow County,Auburn,30011,34.03,-83.83,5.0,129
Georgia,Rockdale County,Conyers,30012,33.72,-84.01,6.0,161
Georgia,Rockdale County,Conyers,30013,33.64,-83.97,7.0,231
Georgia,Newton County,Covington,30014,33.6,-83.8,16.0,124
Georgia,Newton County,Covington,30016,33.5,-83.9,9.0,108
Georgia,Gwinnett County,Grayson,30017,33.89,-83.96,3.0,201
Georgia,Gwinnett County,Dacula,30019,34.0,-83.9,8.0,278
Georgia,DeKalb County,Clarkston,30021,33.81,-84.24,2.0,38
Georgia,Fulton County,Alpharetta,30022,34.02,-84.25,5.0,9
Georgia,Gwinnett County,Suwanee,30024,34.07,-84.1,6.0,101
Georgia,Walton County,Social Circle,30025,33.6,-83.7,7.0,160
Georgia,Forsyth County,Cumming,30028,34.3,-84.2,8.0,114
Georgia,DeKalb County,Decatur,30030,33.77,-84.29,2.0,67
Georgia,DeKalb County,Decatur,30032,33.75,-84.27,3.0,278
Georgia,DeKalb County,Decatur,30033,33.82,-84.29,3.0,133
Georgia,DeKalb County,Decatur,30034,33.69,-84.25,4.0,146
Georgia,DeKalb County,Decatur,30035,33.73,-84.2,3.0,169
Georgia,DeKalb County,Lithonia,30038,33.66,-84.14,5.0,183
Georgia,Gwinnett County,Snellville,30039,33.8,-84.03,5.0,244
Georgia,Forsyth County,Cumming,30040,34.2,-84.2,7.0,91
Georgia,Forsyth County,Cumming,30041,34.2,-84.1,11.0,121
Georgia,Gwinnett County,Lawrenceville,30043,34.01,-84.01,6.0,128
Georgia,Gwinnett County,Lawrenceville,30044,33.92,-84.07,5.0,4
Georgia,Gwinnett County,Lawrenceville,30045,33.93,-83.92,6.0,15
Georgia,Gwinnett County,Lawrenceville,30046,33.95,-84.0,4.0,37
Georgia,Gwinnett County,Lilburn,30047,33.87,-84.11,5.0,189
Georgia,Walton County,Loganville,30052,33.8,-83.9,8.0,232
Georgia,Newton County,Oxford,30054,33.68,-83.86,6.0,115
Georgia,Jasper County,Mansfield,30055,33.5,-83.7,10.0,24
Georgia,Jasper County,Newborn,30056,33.5,-83.65,6.0,265
Georgia,DeKalb County,Lithonia,30058,33.74,-84.1,5.0,228
Georgia,Cobb County,Marietta,30060,33.93,-84.54,6.0,19
Georgia,Cobb County,Marietta,30062,34.0,-84.47,5.0,66
Georgia,Cobb County,Marietta,30064,33.93,-84.62,5.0,58
Georgia,Cobb County,Marietta,30066,34.02,-84.5,5.0,150
Georgia,Cobb County,Marietta,30067,33.93,-84.46,4.0,49
Georgia,Cobb County,Marietta,30068,33.97,-84.44,5.0,0
Georgia,Gwinnett County,Norcross,30071,33.94,-84.21,4.0,179
Georgia,Fulton County,Roswell,30075,34.06,-84.38,5.0,250
Georgia,Fulton County,Roswell,30076,34.02,-84.31,4.0,13
Georgia,Gwinnett County,Snellville,30078,33.86,-84.01,4.0,191
Georgia,DeKalb County,Scottdale,30079,33.79,-84.26,1.0,6
Georgia,Cobb County,Smyrna,30080,33.87,-84.5,4.0,242
Georgia,Cobb County,Smyrna,30082,33.86,-84.53,3.0,61
Georgia,DeKalb County,Stone Mountain,30083,33.79,-84.2,4.0,101
Georgia,DeKalb County,Tucker,30084,33.86,-84.21,3.0,138
Georgia,DeKalb County,Stone Mountain,30087,33.82,-84.11,5.0,26
Georgia,DeKalb County,Stone Mountain,30088,33.76,-84.17,3.0,169
Georgia,Gwinnett County,Norcross,30092,33.97,-84.23,3.0,168
Georgia,Gwinnett County,Norcross,30093,33.91,-84.18,4.0,16
Georgia,Rockdale County,Conyers,30094,33.6,-84.1,7.0,97
Georgia,Gwinnett County,Duluth,30096,33.98,-84.15,5.0,130
Georgia,Fulton County,Duluth,30097,34.02,-84.14,5.0,124
Georgia,Cobb County,Acworth,30101,34.03,-84.7,7.0,14
Georgia,Cherokee County,Acworth,30102,34.11,-84.63,6.0,191
Georgia,Bartow County,Adairsville,30103,34.4,-84.9,9.0,221
Georgia,Polk County,Aragon,30104,34.09,-85.06,5.0,100
Georgia,Floyd County,Armuchee,30105,34.5,-85.2,9.0,264
Georgia,Cobb County,Austell,30106,33.83,-84.64,4.0,260
Georgia,Cherokee County,Ball Ground,30107,34.3,-84.3,10.0,179
Georgia,Carroll County,Bowdon,30108,33.5,-85.3,10.0,142
Georgia,Haralson County,Bremen,30110,33.7,-85.2,7.0,12
Georgia,Haralson County,Buchanan,30113,33.9,-85.2,11.0,130
Georgia,Cherokee County,Canton,30114,34.3,-84.5,10.0,81
Georgia,Cherokee County,Canton,30115,34.2,-84.4,9.0,2
Georgia,Carroll County,Carrollton,30116,33.6,-85.0,11.0,91
Georgia,Carroll County,Carrollton,30117,33.6,-85.1,9.0,91
Georgia,Bartow County,Cartersville,30120,34.2,-84.8,9.0,55
Georgia,Bartow County,Cartersville,30121,34.2,-84.8,10.0,72
Georgia,Douglas County,Lithia Springs,30122,33.76,-84.65,5.0,208
Georgia,Floyd County,Cave Spring,30124,34.14,-85.35,7.0,294
Georgia,Polk County,Cedartown,30125,34.0,-85.3,10.0,34
Georgia,Cobb County,Mableton,30126,33.82,-84.55,5.0,271
Georgia,Cobb County,Powder Springs,30127,33.9,-84.7,8.0,241
Georgia,Paulding County,Dallas,30132,34.0,-84.9,8.0,3
Georgia,Douglas County,Douglasville,30134,33.8,-84.8,7.0,179
Georgia,Douglas County,Douglasville,30135,33.7,-84.7,9.0,68
Georgia,Bartow County,Emerson,30137,34.12,-84.77,2.0,253
Georgia,Gordon County,Fairmount,30139,34.4,-84.7,10.0,187
Georgia,Paulding County,Hiram,30141,33.86,-84.76,5.0,16
Georgia,Pickens County,Jasper,30143,34.5,-84.4,12.0,53
Georgia,Cobb County,Kennesaw,30144,34.03,-84.6,5.0,172
Georgia,Bartow County,Kingston,30145,34.2,-85.0,9.0,291
Georgia,Floyd County,Lindale,30147,34.15,-85.22,5.0,181
Georgia,Pickens County,Marble Hill,30148,34.44,-84.29,3.0,122
Georgia,Cobb County,Kennesaw,30152,33.99,-84.64,5.0,90
Georgia,Polk County,Rockmart,30153,34.0,-85.1,9.0,280
Georgia,Paulding County,Dallas,30157,33.9,-84.9,10.0,79
Georgia,Floyd County,Rome,30161,34.3,-85.2,15.0,265
Georgia,Floyd County,Rome,30165,34.3,-85.3,13.0,125
Georgia,Cobb County,Austell,30168,33.78,-84.59,4.0,93
Georgia,Carroll County,Roopville,30170,33.4,-85.2,7.0,188
Georgia,Bartow County,Rydal,30171,34.36,-84.74,7.0,120
Georgia,Floyd County,Silver Creek,30173,34.14,-85.13,5.0,119
Georgia,Pickens County,Talking Rock,30175,34.5,-84.5,11.0,287
Georgia,Haralson County,Tallapoosa,30176,33.8,-85.3,10.0,295
Georgia,Pickens County,Tate,30177,34.4,-84.37,2.0,229
Georgia,Bartow County,Taylorsville,30178,34.1,-85.0,7.0,137
Georgia,Carroll County,Temple,30179,33.8,-85.0,9.0,234
Georgia,Carroll County,Villa Rica,30180,33.7,-84.9,9.0,232
Georgia,Carroll County,Waco,30182,33.65,-85.25,7.0,56
Georgia,Cherokee County,Waleska,30183,34.34,-84.59,6.0,140
Georgia,Bartow County,White,30184,34.3,-84.7,10.0,148
Georgia,Carroll County,Whitesburg,30185,33.51,-84.91,7.0,255
Georgia,Douglas County,Winston,30187,33.7,-84.8,7.0,93
Georgia,Cherokee County,Woodstock,30188,34.12,-84.45,6.0,52
Georgia,Cherokee County,Woodstock,30189,34.13,-84.57,4.0,288
Georgia,Lamar County,Barnesville,30204,33.1,-84.1,10.0,267
Georgia,Fayette County,Brooks,30205,33.26,-84.46,7.0,33
Georgia,Pike County,Concord,30206,33.1,-84.44,6.0,104
Georgia,Fulton County,Fairburn,30213,33.6,-84.6,10.0,190
Georgia,Fayette County,Fayetteville,30214,33.49,-84.48,7.0,165
Georgia,Fayette County,Fayetteville,30215,33.4,-84.5,7.0,202
Georgia,Butts County,Flovilla,30216,33.24,-83.87,5.0,249
Georgia,Heard County,Franklin,30217,33.3,-85.1,12.0,49
Georgia,Meriwether County,Gay,30218,33.13,-84.59,7.0,213
Georgia,Coweta County,Grantville,30220,33.23,-84.84,7.0,80
Georgia,Meriwether County,Greenville,30222,33.0,-84.7,10.0,142
Georgia,Spalding County,Griffin,30223,33.3,-84.3,11.0,186
Georgia,Spalding County,Griffin,30224,33.2,-84.2,8.0,37
Georgia,Henry County,Hampton,30228,33.41,-84.3,7.0,224
Georgia,Troup County,Hogansville,30230,33.2,-84.9,10.0,60
Georgia,Butts County,Jackson,30233,33.3,-84.0,12.0,145
Georgia,Butts County,Jenkinsburg,30234,33.32,-84.03,4.0,111
Georgia,Clayton County,Jonesboro,30236,33.53,-84.33,7.0,248
Georgia,Clayton County,Jonesboro,30238,33.5,-84.38,4.0,188
Georgia,Troup County,Lagrange,30240,33.0,-85.1,13.0,297
Georgia,Troup County,Lagrange,30241,33.0,-85.0,10.0,266
Georgia,Henry County,Locust Grove,30248,33.3,-84.1,8.0,294
Georgia,Meriwether County,Luthersville,30251,33.18,-84.7,5.0,125
Georgia,Henry County,Mcdonough,30252,33.5,-84.0,9.0,23
Georgia,Henry County,Mcdonough,30253,33.45,-84.19,6.0,172
Georgia,Pike County,Meansville,30256,33.02,-84.32,5.0,137
Georgia,Lamar County,Milner,30257,33.1,-84.2,7.0,180
Georgia,Pike County,Molena,30258,33.0,-84.4,7.0,140
Georgia,Coweta County,Moreland,30259,33.27,-84.72,6.0,96
Georgia,Clayton County,Morrow,30260,33.58,-84.33,3.0,117
Georgia,Coweta County,Newnan,30263,33.4,-84.9,11.0,112
Georgia,Coweta County,Newnan,30265,33.42,-84.7,7.0,139
Georgia,Fulton County,Palmetto,30268,33.6,-84.7,9.0,171
Georgia,Fayette County,Peachtree City,30269,33.39,-84.57,5.0,155
Georgia,Clayton County,Rex,30273,33.58,-84.27,2.0,39
Georgia,Clayton County,Riverdale,30274,33.55,-84.4,5.0,96
Georgia,Coweta County,Senoia,30276,33.3,-84.6,8.0,266
Georgia,Coweta County,Sharpsburg,30277,33.4,-84.6,9.0,105
Georgia,Henry County,Stockbridge,30281,33.6,-84.2,8.0,261
Georgia,Upson County,The Rock,30285,32.97,-84.25,3.0,197
Georgia,Upson County,Thomaston,30286,32.9,-84.3,12.0,53
Georgia,Clayton County,Conley,30288,33.65,-84.32,2.0,282
Georgia,Fayette County,Tyrone,30290,33.48,-84.59,4.0,17
Georgia,Fulton County,Union City,30291,33.57,-84.54,3.0,175
Georgia,Pike County,Williamson,30292,33.17,-84.41,7.0,2
Georgia,Meriwether County,Woodbury,30293,33.0,-84.6,8.0,17
Georgia,DeKalb County,Ellenwood,30294,33.64,-84.25,6.0,115
Georgia,Pike County,Zebulon,30295,33.1,-84.31,6.0,44
Georgia,Clayton County,Riverdale,30296,33.56,-84.45,3.0,161
Georgia,Clayton County,Forest Park,30297,33.61,-84.36,3.0,16
Georgia,Fulton County,Atlanta,30303,33.75,-84.39,1.0,105
Georgia,Fulton County,Atlanta,30305,33.84,-84.38,2.0,45
Georgia,Fulton County,Atlanta,30306,33.79,-84.35,2.0,68
Georgia,DeKalb County,Atlanta,30307,33.77,-84.34,2.0,52
Georgia,Fulton County,Atlanta,30308,33.77,-84.38,1.0,216
Georgia,Fulton County,Atlanta,30309,33.8,-84.39,2.0,214
Georgia,Fulton County,Atlanta,30310,33.73,-84.43,3.0,146
Georgia,Fulton County,Atlanta,30311,33.73,-84.47,3.0,70
Georgia,Fulton County,Atlanta,30312,33.74,-84.38,2.0,190
Georgia,Fulton County,Atlanta,30313,33.76,-84.4,2.0,149
Georgia,Fulton County,Atlanta,30314,33.76,-84.43,2.0,135
Georgia,Fulton County,Atlanta,30315,33.7,-84.38,3.0,201
Georgia,DeKalb County,Atlanta,30316,33.74,-84.34,3.0,153
Georgia,DeKalb County,Atlanta,30317,33.75,-84.32,2.0,54
Georgia,Fulton County,Atlanta,30318,33.79,-84.44,4.0,230
Georgia,DeKalb County,Atlanta,30319,33.86,-84.35,4.0,260
Georgia,Fulton County,Atlanta,30324,33.82,-84.36,2.0,192
Georgia,Fulton County,Atlanta,30326,33.85,-84.36,0.7954545454545454,26
Georgia,Fulton County,Atlanta,30327,33.86,-84.42,4.0,230
Georgia,Fulton County,Atlanta,30328,33.93,-84.4,3.0,234
Georgia,DeKalb County,Atlanta,30329,33.83,-84.33,3.0,151
Georgia,Fulton County,Atlanta,30331,33.72,-84.56,7.0,138
Georgia,Fulton County,Atlanta,30334,33.749,-84.387,0.17045454545454544,45
Georgia,Fulton County,Atlanta,30336,33.74,-84.57,4.0,64
Georgia,Fulton County,Atlanta,30337,33.64,-84.44,3.0,160
Georgia,DeKalb County,Atlanta,30338,33.94,-84.32,3.0,87
Georgia,Cobb County,Atlanta,30339,33.87,-84.45,4.0,219
Georgia,DeKalb County,Atlanta,30340,33.89,-84.23,3.0,255
Georgia,DeKalb County,Atlanta,30341,33.89,-84.28,3.0,117
Georgia,Fulton County,Atlanta,30342,33.88,-84.38,3.0,200
Georgia,Fulton County,Atlanta,30344,33.68,-84.44,4.0,215
Georgia,DeKalb County,Atlanta,30345,33.85,-84.28,2.0,218
Georgia,DeKalb County,Atlanta,30346,33.92,-84.34,0.7386363636363636,101
Georgia,Fulton County,Atlanta,30349,33.6,-84.5,9.0,226
Georgia,Fulton County,Atlanta,30350,33.98,-84.32,4.0,241
Georgia,Fulton County,Atlanta,30354,33.66,-84.4,3.0,226
Georgia,DeKalb County,Atlanta,30360,33.93,-84.26,3.0,164
Georgia,Fulton County,Atlanta,30363,33.792,-84.399,0.5681818181818182,183
Georgia,Emanuel County,Swainsboro,30401,32.6,-82.4,16.0,62
Georgia,Montgomery County,Ailey,30410,32.2,-82.5,8.0,85
Georgia,Wheeler County,Alamo,30411,32.1,-82.8,11.0,17
Georgia,Jefferson County,Bartow,30413,32.9,-82.5,10.0,52
Georgia,Bulloch County,Brooklet,30415,32.4,-81.6,11.0,62
Georgia,Evans County,Claxton,30417,32.2,-81.9,11.0,0
Georgia,Tattnall County,Cobbtown,30420,32.26,-82.14,7.0,31
Georgia,Tattnall County,Collins,30421,32.2,-82.1,8.0,145
Georgia,Emanuel County,Garfield,30425,32.6,-82.0,12.0,184
Georgia,Burke County,Girard,30426,33.0,-81.7,11.0,281
Georgia,Tattnall County,Glennville,30427,31.9,-81.9,13.0,166
Georgia,Wheeler County,Glenwood,30428,32.2,-82.7,20.0,183
Georgia,Jefferson County,Louisville,30434,33.0,-82.4,15.0,132
Georgia,Toombs County,Lyons,30436,32.2,-82.3,21.0,148
Georgia,Candler County,Metter,30439,32.4,-82.1,12.0,12
Georgia,Emanuel County,Midville,30441,32.8,-82.3,14.0,154
Georgia,Jenkins County,Millen,30442,32.8,-82.0,14.0,216
Georgia,Montgomery County,Mount Vernon,30445,32.2,-82.6,11.0,110
Georgia,Screven County,Newington,30446,32.6,-81.5,8.0,206
Georgia,Bulloch County,Portal,30450,32.56,-81.94,6.0,74
Georgia,Bulloch County,Register,30452,32.3,-81.9,7.0,239
Georgia,Tattnall County,Reidsville,30453,32.0,-82.1,10.0,19
Georgia,Laurens County,Rockledge,30454,32.44,-82.73,6.0,116
Georgia,Screven County,Rocky Ford,30455,32.7,-81.8,7.0,36
Georgia,Burke County,Sardis,30456,33.0,-81.8,8.0,155
Georgia,Treutlen County,Soperton,30457,32.4,-82.5,14.0,252
Georgia,Bulloch County,Statesboro,30458,32.4,-81.9,13.0,88
Georgia,Bulloch County,Statesboro,30461,32.5,-81.7,12.0,224
Georgia,Screven County,Sylvania,30467,32.7,-81.6,20.0,87
Georgia,Montgomery County,Tarrytown,30470,32.29,-82.51,6.0,215
Georgia,Emanuel County,Twin City,30471,32.5,-82.1,15.0,141
Georgia,Montgomery County,Uvalda,30473,32.0,-82.5,9.0,17
Georgia,Toombs County,Vidalia,30474,32.2,-82.4,13.0,294
Georgia,Jefferson County,Wadley,30477,32.9,-82.4,9.0,158
Georgia,Hall County,Gainesville,30501,34.32,-83.81,5.0,77
Georgia,Hall County,Gainesville,30504,34.27,-83.89,5.0,252
Georgia,Hall County,Gainesville,30506,34.3,-83.9,12.0,11
Georgia,Hall County,Gainesville,30507,34.3,-83.8,8.0,20
Georgia,Habersham County,Alto,30510,34.45,-83.57,6.0,76
Georgia,Banks County,Baldwin,30511,34.46,-83.47,6.0,239
Georgia,Union County,Blairsville,30512,34.9,-84.0,14.0,236
Georgia,Fannin County,Blue Ridge,30513,34.8,-84.3,16.0,154
Georgia,Hart County,Bowersville,30516,34.38,-83.03,5.0,226
Georgia,Jackson County,Braselton,30517,34.13,-83.79,5.0,290
Georgia,Gwinnett County,Buford,30518,34.12,-84.01,6.0,258
Georgia,Gwinnett County,Buford,30519,34.09,-83.94,6.0,250
Georgia,Franklin County,Canon,30520,34.3,-83.1,8.0,204
Georgia,Franklin County,Carnesville,30521,34.4,-83.3,9.0,80
Georgia,Gilmer County,Cherry Log,30522,34.8,-84.4,9.0,249
Georgia,Habersham County,Clarkesville,30523,34.7,-83.5,14.0,176
Georgia,Rabun County,Clayton,30525,34.9,-83.4,18.0,175
Georgia,Hall County,Clermont,30527,34.48,-83.77,5.0,242
Georgia,White County,Cleveland,30528,34.6,-83.8,13.0,197
Georgia,Jackson County,Commerce,30529,34.2,-83.5,8.0,89
Georgia,Banks County,Commerce,30530,34.2,-83.4,11.0,185
Georgia,Habersham County,Cornelia,30531,34.5,-83.6,8.0,82
Georgia,Lumpkin County,Dahlonega,30533,34.5,-84.0,13.0,135
Georgia,Dawson County,Dawsonville,30534,34.5,-84.1,13.0,72
Georgia,Habersham County,Demorest,30535,34.59,-83.57,5.0,69
Georgia,Gilmer County,Ellijay,30536,34.7,-84.4,11.0,91
Georgia,Rabun County,Dillard,30537,34.96,-83.35,5.0,158
Georgia,Stephens County,Eastanollee,30538,34.5,-83.27,5.0,186
Georgia,Gilmer County,Ellijay,30540,34.7,-84.5,13.0,51
Georgia,Fannin County,Epworth,30541,34.9,-84.5,9.0,239
Georgia,Hall County,Flowery Branch,30542,34.17,-83.91,6.0,36
Georgia,Hall County,Gillsville,30543,34.29,-83.65,6.0,264
Georgia,White County,Helen,30545,34.73,-83.77,6.0,15
Georgia,Towns County,Hiawassee,30546,34.9,-83.7,10.0,182
Georgia,Banks County,Homer,30547,34.37,-83.47,6.0,145
Georgia,Jackson County,Hoschton,30548,34.1,-83.8,8.0,298
Georgia,Jackson County,Jefferson,30549,34.1,-83.6,8.0,193
Georgia,Rabun County,Lakemont,30552,34.8,-83.4,8.0,231
Georgia,Franklin County,Lavonia,30553,34.4,-83.1,8.0,155
Georgia,Hall County,Lula,30554,34.4,-83.6,9.0,13
Georgia,Fannin County,Mc Caysville,30555,34.97,-84.42,5.0,140
Georgia,Stephens County,Martin,30557,34.5,-83.2,8.0,286
Georgia,Jackson County,Maysville,30558,34.3,-83.6,8.0,202
Georgia,Fannin County,Mineral Bluff,30559,34.9,-84.2,8.0,16
Georgia,Fannin County,Morganton,30560,34.9,-84.2,9.0,105
Georgia,Habersham County,Mount Airy,30563,34.56,-83.46,5.0,28
Georgia,Hall County,Murrayville,30564,34.5,-83.9,7.0,88
Georgia,Jackson County,Nicholson,30565,34.09,-83.41,4.0,300
Georgia,Hall County,Oakwood,30566,34.24,-83.89,2.0,218
Georgia,Jackson County,Pendergrass,30567,34.19,-83.68,6.0,133
Georgia,Rabun County,Rabun Gap,30568,34.95,-83.42,6.0,1
Georgia,White County,Sautee Nacoochee,30571,34.72,-83.7,7.0,137
Georgia,Union County,Suches,30572,34.7,-84.1,9.0,0
Georgia,Jackson County,Talmo,30575,34.2,-83.72,3.0,180
Georgia,Rabun County,Tiger,30576,34.8,-83.4,8.0,64
Georgia,Stephens County,Toccoa,30577,34.6,-83.3,13.0,242
Georgia,Towns County,Young Harris,30582,34.91,-83.9,7.0,55
Georgia,Clarke County,Athens,30601,34.0,-83.35,4.0,283
Georgia,Clarke County,Athens,30605,33.9,-83.32,6.0,49
Georgia,Clarke County,Athens,30606,33.94,-83.44,5.0,152
Georgia,Clarke County,Athens,30607,34.03,-83.45,5.0,136
Georgia,Oglethorpe County,Arnoldsville,30619,33.85,-83.25,7.0,133
Georgia,Barrow County,Bethlehem,30620,33.93,-83.75,6.0,246
Georgia,Oconee County,Bishop,30621,33.8,-83.48,6.0,228
Georgia,Oconee County,Bogart,30622,33.9,-83.5,7.0,204
Georgia,Elbert County,Bowman,30624,34.2,-83.1,8.0,249
Georgia,Morgan County,Buckhead,30625,33.53,-83.36,6.0,111
Georgia,Oglethorpe County,Carlton,30627,34.0,-82.9,11.0,146
Georgia,Madison County,Colbert,30628,34.03,-83.22,7.0,155
Georgia,Madison County,Comer,30629,34.1,-83.1,9.0,87
Georgia,Oglethorpe County,Crawford,30630,33.9,-83.15,7.0,153
Georgia,Taliaferro County,Crawfordville,30631,33.6,-82.8,12.0,104
Georgia,Madison County,Danielsville,30633,34.2,-83.3,8.0,240
Georgia,Elbert County,Dewy Rose,30634,34.2,-82.9,7.0,196
Georgia,Elbert County,Elberton,30635,34.1,-82.8,16.0,42
Georgia,Walton County,Good Hope,30641,33.78,-83.57,5.0,27
Georgia,Greene County,Greensboro,30642,33.5,-83.2,15.0,24
Georgia,Hart County,Hartwell,30643,34.4,-82.9,10.0,241
Georgia,Madison County,Hull,30646,34.08,-83.31,7.0,216
Georgia,Oglethorpe County,Lexington,30648,33.9,-83.0,9.0,125
Georgia,Morgan County,Madison,30650,33.6,-83.4,14.0,249
Georgia,Walton County,Monroe,30655,33.8,-83.7,10.0,166
Georgia,Walton County,Monroe,30656,33.9,-83.7,8.0,83
Georgia,Wilkes County,Rayle,30660,33.8,-82.9,9.0,172
Georgia,Franklin County,Royston,30662,34.3,-83.1,9.0,84
Georgia,Morgan County,Rutledge,30663,33.6,-83.6,8.0,275
Georgia,Barrow County,Statham,30666,33.96,-83.58,7.0,190
Georgia,Oglethorpe County,Stephens,30667,33.8,-83.2,8.0,7
Georgia,Wilkes County,Tignall,30668,33.9,-82.7,13.0,48
Georgia,Greene County,Union Point,30669,33.7,-83.1,13.0,103
Georgia,Wilkes County,Washington,30673,33.7,-82.7,15.0,74
Georgia,Oconee County,Watkinsville,30677,33.8,-83.4,11.0,196
Georgia,Greene County,White Plains,30678,33.5,-83.1,8.0,166
Georgia,Barrow County,Winder,30680,34.0,-83.7,9.0,87
Georgia,Clarke County,Winterville,30683,33.93,-83.26,7.0,170
Georgia,Gordon County,Calhoun,30701,34.5,-85.0,11.0,151
Georgia,Murray County,Chatsworth,30705,34.7,-84.8,13.0,111
Georgia,Walker County,Chickamauga,30707,34.8,-85.3,14.0,21
Georgia,Murray County,Cisco,30708,34.96,-84.66,3.0,276
Georgia,Whitfield County,Cohutta,30710,34.94,-84.91,7.0,238
